ID	Flux	X
v1	124.785	7.51475e+25
v10	572.851	3.44979e+26
v11	99.942	6.01865e+25
v12	0.345578	2.08112e+23
v13	0.325385	1.95952e+23
v14	0.0154853	9.32549e+21
v15	0.00470778	2.83509e+21
v16	0.00268795	1.61872e+21
v17	19.3257	1.16382e+25
v18	11.9347	7.18723e+24
v19	8.68961	5.23301e+24
v2	64.6715	3.89461e+25
v20	71.4159	4.30077e+25
v21	21.5375	1.29702e+25
v22	35.0576	2.11122e+25
v23	13.5202	8.14203e+24
v24	472.909	2.84793e+26
v25	572.496	3.44765e+26
v26	11.5795	6.97334e+24
v27	11.5795	6.97334e+24
v28	19.3284	1.16398e+25
v29	19.3284	1.16398e+25
v3	127.452	7.67532e+25
v30	19.3284	1.16398e+25
v31	99.9016	6.01622e+25
v32	11.5795	6.97334e+24
v33	18.219	1.09717e+25
v34	62.3543	3.75506e+25
v35	80.5732	4.85223e+25
v36	80.5732	4.85223e+25
v37	80.5732	4.85223e+25
v38	0.314783	1.89567e+23
v39	91.2524	5.49535e+25
v4	62.0051	3.73403e+25
v40	0.0201931	1.21606e+22
v41	10.6792	6.43114e+24
v5	189.457	1.14094e+26
v6	63.1468	3.80279e+25
v7	35.0576	2.11122e+25
v8	91.2524	5.49535e+25
v9	91.2524	5.49535e+25
EX_para	250	0
